excluded_item_id,excluded_item_number,excluded_word,singular,contrast,scale,estimate,standard_error,conf_low,conf_high,z_ratio,p_value,p_value_holm
target_03,3,uncertain,FALSE,Grounding vs Thematic,probability,0.1772204191499689,0.05976317428173037,0.06008674995598698,0.2943540883439508,2.9653782831971367,0.0030231094636841717,0.0060462189273683435
target_03,3,uncertain,FALSE,Grounding vs Control,probability,0.3103921698923029,0.06160817542473214,0.1896423649066023,0.4311419748780035,5.038165271937242,4.700155164956187e-7,1.4100465494868561e-6
target_03,3,uncertain,FALSE,Thematic vs Control,probability,0.133171750742334,0.06214475054718487,0.011370277841625864,0.25497322364304215,2.142928398131073,0.03211884826701384,0.03211884826701384
target_04,4,maintain,FALSE,Grounding vs Thematic,log_odds,1.0399653502465198,0.28256788381581227,0.4861424747798295,1.59378822571321,3.6804088851244185,2.328602564129598e-4,4.657205128259196e-4
target_04,4,maintain,FALSE,Grounding vs Control,log_odds,1.618495738505177,0.28041080095287824,1.0689006677615058,2.1680908092488482,5.771873740259948,7.839485020860918e-9,2.3518455062582753e-8
target_04,4,maintain,FALSE,Thematic vs Control,log_odds,0.5785303882586573,0.2611124580090918,0.06675937464611037,1.0903014018712043,2.215636866466606,0.026716381878782905,0.026716381878782905
target_04,4,maintain,FALSE,Grounding vs Thematic,probability,0.1844136155594791,0.06037937783283243,0.06607220959819146,0.3027550215207667,3.054248357279374,0.0022562521144617043,0.0045125042289234085
target_04,4,maintain,FALSE,Grounding vs Control,probability,0.3231786933060752,0.062426547767695316,0.20082490800222308,0.4455324786099273,5.176943221475314,2.255508210939017e-7,6.766524632817051e-7
target_04,4,maintain,FALSE,Thematic vs Control,probability,0.13876507774659608,0.062494742206747264,0.016277633798256252,0.2612525216949359,2.2204280367703357,0.026389725626727128,0.026389725626727128
target_05,5,settle,FALSE,Grounding vs Thematic,log_odds,0.9984496398583937,0.283864561450025,0.44208532292908786,1.5548139567876995,3.5173451548800436,4.3588658543426684e-4,8.717731708685337e-4
target_05,5,settle,FALSE,Grounding vs Control,log_odds,1.547591626768557,0.28189881929172733,0.9950800936724066,2.1001031598647075,5.48988332287766,4.02199340878595e-8,1.2065980226357851e-7
target_05,5,settle,FALSE,Thematic vs Control,log_odds,0.5491419869101632,0.2629555844593478,0.0337585118361613,1.0645254619841653,2.0883450261732666,0.036766722586531894,0.036766722586531894
target_05,5,settle,FALSE,Grounding vs Thematic,probability,0.17325266407086382,0.06093343401359372,0.05382532794987224,0.29268000019185536,2.8433103578605574,0.00446475707197099,0.00892951414394198
target_05,5,settle,FALSE,Grounding vs Control,probability,0.3034269391294675,0.06337115521372065,0.1792217572518774,0.4276321210070576,4.788092281198809,1.6837422576725068e-6,5.0512267730175205e-6
target_05,5,settle,FALSE,Thematic vs Control,probability,0.13017427505860368,0.06290890380076766,0.006875089302204179,0.2534734608150032,2.0692504112115078,0.03852259438087377,0.03852259438087377
target_06,6,misleading,FALSE,Grounding vs Thematic,log_odds,1.050602154583943,0.2890535254506004,0.48406765509643446,1.6171366540714516,3.634628406438489,2.783815820146262e-4,5.567631640292524e-4
target_06,6,misleading,FALSE,Grounding vs Control,log_odds,1.6666852462637785,0.2867284430537462,1.1047078245351922,2.2286626679923645,5.812765655590591,6.144905673761142e-9,1.843471702128343e-8
target_06,6,misleading,FALSE,Thematic vs Control,log_odds,0.6160830916798354,0.26590947045470736,0.09491010644049158,1.1372560769191793,2.3168903710963296,0.020509704425812507,0.020509704425812507
target_06,6,misleading,FALSE,Grounding vs Thematic,probability,0.1762912228460608,0.061930881668554906,0.05490892524488136,0.29767352044724027,2.8465802213110067,0.004419159317922634,0.008838318635845268
target_06,6,misleading,FALSE,Grounding vs Control,probability,0.32211239523806556,0.06469814969889338,0.1953063519618536,0.4489184385142775,4.978695630975287,6.401421861051759e-7,1.9204265583155277e-6
target_06,6,misleading,FALSE,Thematic vs Control,probability,0.14582117239200476,0.06349129448186056,0.02138052187573143,0.2702618229082781,2.2967112827360268,0.02163524538574713,0.02163524538574713
target_07,7,discourage,FALSE,Grounding vs Thematic,log_odds,0.8575340793305881,0.28253909547758826,0.30376762796999157,1.4113005306911846,3.035098834308436,0.002404568752430418,0.004809137504860836
target_07,7,discourage,FALSE,Grounding vs Control,log_odds,1.441692596755938,0.27921445382129273,0.8944423233031823,1.9889428702086938,5.16338813061115,2.4251954387296996e-7,7.275586316189098e-7
target_07,7,discourage,FALSE,Thematic vs Control,log_odds,0.5841585174253499,0.26358857232566063,0.06753440893072393,1.1007826259199758,2.216175429273272,0.026679489950221607,0.026679489950221607
target_07,7,discourage,FALSE,Grounding vs Thematic,probability,0.14889936083764344,0.06084392996128901,0.029647449435639475,0.2681512722396474,2.447234439530423,0.014395716697380689,0.028791433394761378
target_07,7,discourage,FALSE,Grounding vs Control,probability,0.286347823002967,0.06314755145203198,0.16258089644509438,0.41011474956083965,4.534583153560309,5.771736024129301e-6,1.73152080723879e-5
target_07,7,discourage,FALSE,Thematic vs Control,probability,0.13744846216532358,0.06291622354177272,0.014134929980177999,0.26076199435046915,2.1846267056074304,0.0289162281930459,0.0289162281930459
target_08,8,retain,FALSE,Grounding vs Thematic,log_odds,0.9829163243894644,0.2845029474348748,0.4253007939216178,1.540531854857311,3.454854627172052,5.505896063246418e-4,0.0011011792126492837
target_08,8,retain,FALSE,Grounding vs Control,log_odds,1.5080818806698728,0.28129576838504744,0.9567523056316591,2.0594114557080863,5.361196470632853,8.267254161002683e-8,2.480176248300805e-7
target_08,8,retain,FALSE,Thematic vs Control,log_odds,0.5251655562804084,0.261690791486902,0.012261029880299645,1.0380700826805171,2.006817103867003,0.04476914099187618,0.04476914099187618
target_08,8,retain,FALSE,Grounding vs Thematic,probability,0.167416406052741,0.060084026855954875,0.04965387736893209,0.28517893473654987,2.7863712672605017,0.005330178460919055,0.01066035692183811
target_08,8,retain,FALSE,Grounding vs Control,probability,0.2888826652364358,0.062043183575042106,0.16728025994314627,0.4104850705297253,4.656154771410596,3.2216978294377382e-6,9.665093488313214e-6
