excluded_case_index,fit_succeeded,singular,contrast,scale,estimate,standard_error,conf_low,conf_high,z_ratio,p_value,p_value_holm,full_estimate,change_from_full_estimate
11,TRUE,FALSE,Thematic vs Control,probability,0.13623136365185662,0.06012414990564616,0.018390195235702886,0.25407253206801034,2.265834342201042,0.02346152785705985,0.02346152785705985,0.13245039693265348,0.003780966719203138
12,TRUE,FALSE,Grounding vs Control,log_odds,1.5435597196671564,0.2683721895298809,1.0175598937364327,2.06955954559788,5.751563611606241,8.842179832253283e-9,2.6526539496759848e-8,1.546483993463893,-0.002924273796736543
12,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9872992627871099,0.26878430000192405,0.4604917151735297,1.51410681040069,3.6732028722661347,2.3952916405051058e-4,4.7905832810102116e-4,0.987969539535548,-6.702767484381145e-4
12,TRUE,FALSE,Thematic vs Control,log_odds,0.5562604568800465,0.2507300856310092,0.06483851920262496,1.047682394557468,2.218562864046064,0.02651647835037823,0.02651647835037823,0.5585144539283451,-0.0022539970482985394
12,TRUE,FALSE,Grounding vs Control,probability,0.3035799918353971,0.06011146410658605,0.18576368712851626,0.4213962965422779,5.050284439871689,4.4115267749643164e-7,1.3234580324892949e-6,0.3042312530924953,-6.512612570982457e-4
12,TRUE,FALSE,Grounding vs Thematic,probability,0.171704858311709,0.05754763944318865,0.05891355760776262,0.2844961590156554,2.9836994179616525,0.0028478638854776473,0.005695727770955295,0.17178085615984195,-7.599784813294708e-5
12,TRUE,FALSE,Thematic vs Control,probability,0.13187513352368807,0.05999709848819443,0.014282981309924489,0.24946728573745164,2.1980251853285373,0.027947311233376536,0.027947311233376536,0.13245039693265348,-5.752634089654096e-4
13,TRUE,FALSE,Grounding vs Control,log_odds,1.547616402166258,0.26879020072347987,1.0207972893509456,2.0744355149815705,5.7577113972186105,8.526196138507647e-9,2.5578588415522942e-8,1.546483993463893,0.0011324087023649732
13,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9899067984650487,0.2691539275693941,0.46237479413153404,1.5174388027985635,3.6778463810817987,2.3521154193191268e-4,4.7042308386382537e-4,0.987969539535548,0.001937258929500696
13,TRUE,FALSE,Thematic vs Control,log_odds,0.5577096037012093,0.2511244002712461,0.06551482353034643,1.049904383872072,2.22084991780493,0.026361128298108133,0.026361128298108133,0.5585144539283451,-8.048502271358338e-4
13,TRUE,FALSE,Grounding vs Control,probability,0.3041235061314882,0.06039523405752033,0.1857510225408815,0.4224959897220949,5.035554723437969,4.764669809963006e-7,1.429400942988902e-6,0.3042312530924953,-1.0774696100712688e-4
13,TRUE,FALSE,Grounding vs Thematic,probability,0.17183783044629675,0.0577150089167371,0.05871849160208398,0.2849571692905095,2.9773508429011875,0.0029075108063148325,0.005815021612629665,0.17178085615984195,5.6974286454791745e-5
13,TRUE,FALSE,Thematic vs Control,probability,0.13228567568519145,0.06007187127984502,0.014546971492769192,0.2500243798776137,2.202123437589253,0.0276565903245248,0.0276565903245248,0.13245039693265348,-1.6472124746202965e-4
14,TRUE,FALSE,Grounding vs Control,log_odds,1.559078943707861,0.2677922818691192,1.0342157159065888,2.083942171509133,5.8219711667039205,5.815758441488189e-9,1.7447275324464565e-8,1.546483993463893,0.01259495024396795
14,TRUE,FALSE,Grounding vs Thematic,log_odds,0.986422980345459,0.26844287100858666,0.4602846212620979,1.5125613394288202,3.6746104548774046,2.3821257591484233e-4,4.7642515182968467e-4,0.987969539535548,-0.0015465591900889475
14,TRUE,FALSE,Thematic vs Control,log_odds,0.5726559633624019,0.25010206000199814,0.08246493329921006,1.0628469934255937,2.289689110748735,0.02203934510420189,0.02203934510420189,0.5585144539283451,0.014141509434056787
14,TRUE,FALSE,Grounding vs Control,probability,0.3075198226004503,0.059932784810817846,0.19005372287805816,0.42498592232284244,5.1310784835238135,2.8808675010669417e-7,8.642602503200825e-7,0.3042312530924953,0.003288569507954975
14,TRUE,FALSE,Grounding vs Thematic,probability,0.17177440248643827,0.05744337826737282,0.05918744993207671,0.28436135504079985,2.9903255634950034,0.0027868024878159115,0.005573604975631823,0.17178085615984195,-6.453673403683524e-6
14,TRUE,FALSE,Thematic vs Control,probability,0.13574542011401192,0.05991399093806136,0.018316155705352513,0.25317468452267133,2.265671473201385,0.023471505398658127,0.023471505398658127,0.13245039693265348,0.0032950231813584363
15,TRUE,FALSE,Grounding vs Control,log_odds,1.5425911964187242,0.2682500545039923,1.016830750739993,2.0683516420974555,5.750571791200759,8.89421255035394e-9,2.6682637651061818e-8,1.546483993463893,-0.003892797045168761
15,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9869601494513268,0.2686435708164968,0.4604284259727577,1.513491872929896,3.6738647660602037,2.3890921090383786e-4,4.7781842180767573e-4,0.987969539535548,-0.0010093900842211845
15,TRUE,FALSE,Thematic vs Control,log_odds,0.5556310469673974,0.2505937233925035,0.06447637436629816,1.0467857195684966,2.2172584350690845,0.026605436475873965,0.026605436475873965,0.5585144539283451,-0.0028834069609476876
15,TRUE,FALSE,Grounding vs Control,probability,0.3037315252897361,0.060077491016570804,0.18598180661572872,0.42148124396374353,5.0556626142386625,4.288989886900754e-7,1.2866969660702261e-6,0.3042312530924953,-4.997278027591978e-4
